,Job Title,Company,Description
1208,Veterinarian,VCA Animal Hospitals,"WOOF University, offering abundant CE for Doctors and Staff."
1209,Senior Data Engineer / Database Administrator,Sermo,You will be responsible for extending and maintaining our enterprise data warehouse and own the core data pipeline and the systems it integrated with.
1210,Obstetrician and Gynecologist (MD/DO) Greater NYC,Health Wise LLC,"Board Eligible / Board Certified Required.
Highly Competitive Compensation package including medical education debt repayment and relocation allowances."
1211,Full-Stack Developer,Nutrafol,You are a multi-disciplined developer that thrives in ambiguity and can seamlessly switch from building a website to an API to a mobile app to some experimental…
1212,Principal Product Manager,RELX Group,"Research Products forms part of the Elsevier Research organization together with Research Solutions Sales, Research Networks and Research Products."
1213,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1214,Orthodontic Dental Assistant,Orthodontics,"Looking for 100% solid orthodontic background.
We are a high tech, top quality, and patient care focused practice."
1215,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
1216,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
1217,Telephone Representative II,1199SEIU Family of Funds,"Communicate with doctors, hospitals, and other professionals via telephone regarding 1199SEIU members, dependent eligibility for health benefits, claims, and…"
1218,Staff Nurse,Confidential,"Provide nursing care to the patients and support to the doctors.
Administer medicines and injections according to the time stated on their charts."
1219,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1220,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1221,"MEDIA PLANNER, PAID SOCIAL",Intouch Solutions,The primary role of this position is to continue to grow the capabilities of Intouch Solutions in paid social advertising and to become the internal expert in…
1222,Social Worker,YAI/National Institute for People with Disabilitie...,"Being part of a multidisciplinary team (medical doctors, nurses, psychiatrists, etc ).
The YAI Center for Specialty Therapy is seeking a full-time LCSW or LMSW…"
1223,Lead Dental Assistant (Full-time),Brooklyn City Dental,"Assist the doctor through four hand dentistry.
Position will be full-time, from Sundays through Fridays with Saturdays off and one rotating week day off."
1224,Junior Attorney,Catholic Charities Brooklyn and Queens,"Under the supervision of the Chief of Staff the Junior Attorney engages in difficult and complex legal work having significant financial, procedural or policy…"
1225,Licensed Veterinary Technician,Seven Resourcing Inc,"Administers oral, topical, intravenous medication.
Assists the veterinarians and support staff with restraint.
Performs venipuncture and IV catheter placement."
1226,Medical Records Coordinator - Full Time- Rego Park,Health Plus Management,"Responsible for reviewing all charts prior to the doctor's appointment to ensure that all medical records are on file.
Assist with patient check-in."
1227,"Coordinating Mgr - L A, Ambulatory Care, AMB-0606A",NYC Health + Hospitals,"Document patient's appointments for blood test, EKG, chest x-ray and other diagnostic test as ordered by doctors within relevant procedure time frame; monitor…"
1228,Direct Support Professional-Bronx(Susan),Saint Dominic's Family Services,"Knowledge of Individual Habilitation Plans, Core Competencies, constant supervision and observation of individuals, assist in maintaining cleanliness of the…"
1229,Pharmacist in Charge,Medical Capital Resources LLC,"Preparing medications by reviewing and interpreting physician orders.
Dispensing medications by compounding or packaging and labeling products."
1230,Inpatient Neurologist for Mount Sinai Queens Hospital!,Mount Sinai,"Support Staff: Nurse Aide's, Registered Nurses, PA’s, full service on site imaging center.
No research or administrative responsibilities required; teaching is…"
1231,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
1232,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
1233,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
1234,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
1235,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
1236,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
1237,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
1238,Nurse Practitioner,Rising Ground,The Physician’s Assistant/Nurse Practitioner reports to the Vice President of Health Services and will consult with the Medical Doctor.
